Team,OPR,Panels,Cargo,Climb,Hab Start, PR
31,16.403,2.817,2.229,2.571,3.000,10.618
662,18.087,4.660,0.696,2.143,5.143,12.642
932,16.248,3.387,3.820,4.286,3.000,14.492
1209,16.416,0.000,8.687,1.714,4.286,14.687
1410,16.748,5.778,9.259,1.500,3.000,19.537
1561,21.614,4.258,5.241,8.000,2.500,20.000
1619,29.953,5.721,7.020,7.500,4.500,24.740
1750,13.122,0.947,4.529,2.500,3.000,10.976
2165,9.182,3.955,2.400,1.286,3.000,10.641
2333,21.115,4.513,8.000,2.571,4.286,19.370
2341,31.231,4.178,12.292,5.571,6.000,28.042
2352,12.593,0.711,6.649,3.000,1.500,11.860
2354,13.241,1.418,2.747,2.143,4.714,11.023
2359,10.636,1.549,0.683,1.000,2.000,5.232
2373,20.573,3.771,11.675,2.500,6.000,23.946
2395,12.221,0.000,5.060,2.143,1.714,8.917
2398,4.021,0.911,0.000,3.000,1.714,5.625
2410,24.842,2.560,8.047,8.500,3.000,22.107
2424,2.929,0.929,0.000,1.500,1.500,3.929
2461,16.836,4.038,4.620,2.000,5.000,15.658
2723,15.491,0.000,10.800,3.000,5.000,18.800
2765,16.159,2.642,5.424,3.000,3.000,14.066
2773,4.530,0.000,2.322,2.500,1.500,6.322
2795,12.141,0.473,6.736,3.500,2.500,13.209
2986,2.818,0.000,2.630,0.500,0.500,3.630
2996,28.061,4.695,15.084,3.000,3.500,26.279
3152,6.699,1.644,2.326,2.500,0.000,6.470
3160,4.472,0.000,0.000,2.143,5.143,7.286
3163,11.386,1.268,4.427,2.500,2.000,10.195
3179,3.787,0.000,0.000,2.143,3.857,6.000
3247,16.363,0.000,5.903,6.429,3.857,16.189
3457,1.433,2.856,0.000,3.000,5.000,10.856
3465,9.610,0.000,3.362,3.000,3.000,9.362
3507,12.296,1.704,4.723,1.286,3.429,11.142
3593,15.543,2.049,6.479,2.000,3.500,14.027
3612,8.655,2.407,2.129,1.500,2.500,8.535
3931,22.864,0.638,14.306,2.571,3.429,20.944
4005,27.444,4.605,16.077,3.000,3.000,26.682
4293,22.899,5.094,8.377,1.714,5.571,20.756
4418,9.840,0.000,0.000,4.000,3.000,7.000
4499,28.173,4.357,9.708,5.500,5.000,24.566
4500,13.609,1.406,6.670,2.571,6.000,16.648
4522,22.513,6.895,8.576,2.000,3.000,20.471
4523,21.240,4.295,8.982,5.000,5.500,23.777
4550,18.595,1.703,7.513,3.000,2.500,14.716
4959,0.000,0.000,0.000,2.500,3.500,6.000
5098,12.111,0.913,3.969,1.714,4.286,10.882
5550,15.148,0.000,8.080,2.571,3.000,13.651
5578,16.435,1.548,7.253,1.500,6.000,16.301
5621,10.114,0.938,3.817,1.714,3.000,9.470
5730,15.316,1.275,4.312,3.000,6.000,14.587
5889,14.661,3.720,8.237,1.500,3.000,16.457
5930,19.659,4.057,6.326,4.500,6.000,20.883
6026,8.128,1.260,1.695,2.500,3.000,8.455
6464,10.289,0.473,1.872,2.143,2.143,6.631
6730,0.000,0.000,0.000,0.000,0.000,0.000
6800,13.104,2.937,4.609,2.500,3.000,13.045
6809,11.213,0.402,7.294,1.500,3.000,12.196
6891,11.850,1.058,2.930,4.286,5.571,13.845
6900,1.644,1.159,0.000,2.000,3.000,6.159
7464,15.174,2.931,3.196,3.000,6.000,15.127
7473,6.922,1.149,1.727,2.571,3.429,8.877
7744,17.039,0.930,3.846,2.571,3.857,11.204
